"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"historical--historical--2020--2001","historical",0.26,0.1,0,71,0.1,43,49,71.35,0.6,0.3,0.1,0.35,17.0863722301346,1
"historical--historical--2020--2002","historical",0.35,0.13,0,90,0,43,49,69.09,0.3,0.2,0,0.05,17.0256359811958,2
"historical--historical--2020--2003","historical",0.16,0.1,0,82,0,89,95,110.52,0.3,0.4,0.2,0.1,18.2494074013592,3
"historical--historical--2020--2004","historical",0.28,0,0,81,0.2,60,92,84.05,0,0.3,0.1,0,18.9941571210787,4
"historical--historical--2020--2005","historical",0.41,0.19,0,88,0.1,52,85,78.73,0,0.5,0,0.25,18.4316445967092,5
"historical--historical--2020--2006","historical",0.29,0.25,0,90,0.3,52,83,80.19,0,0.6,0.4,0.3,18.6018170393669,6
"historical--historical--2020--2007","historical",0.06,0.1,0,74,0.1,42,48,72.73,0.9,0.3,0,0,16.5739691488263,7
"historical--historical--2020--2008","historical",0.29,0.23,0,74,0.1,46,52,73.11,0.6,0.7,0.1,0.65,17.6162018859983,8
"historical--historical--2020--2009","historical",0.33,0.27,0,86,0.1,66,72,93.64,0,0.6,0,0.15,18.5742190825613,9
"historical--historical--2020--2010","historical",0.27,0,0,80,0.3,47,102,81.07,0,0,0.1,0,18.7316015083974,10
"historical--historical--2020--2011","historical",0.34,0.12,0,71,0,42,81,64.91,0,0.7,0,0.4,18.6182550032606,11
"historical--historical--2020--2012","historical",0.18,0.13,0,94,0.1,61,67,87.11,0.7,0.8,0,0.1,16.944758901036,12
"historical--historical--2020--2013","historical",0.48,0.23,0,68,0,64,70,79.12,1,0.5,0,0,16.5002243666308,13
"historical--historical--2020--2014","historical",0.44,0,0,76,0,42,84,72.19,0.3,0.4,0.1,0.35,17.539876832905,14
"historical--historical--2020--2015","historical",0.3,0,0,86,0,83,89,97.82,0.1,0.4,0.1,0.05,17.9089717351218,15
"historical--historical--2020--2016","historical",0.42,0.13,0,97,0.1,45,51,68.74,0.3,1,0,0.3,17.3961771432875,16
"historical--historical--2020--2017","historical",0.44,0.11,0,87,0,70,76,85.92,0.5,0.6,0.1,0.05,17.5282701262163,17
"historical--historical--2020--2018","historical",0.46,0.61,0,99,0,58,80,84.05,0,0.3,0.1,0,18.0820351817741,18
"historical--historical--2020--2019","historical",0.4,0.27,0,86,0.2,58,91,83.95,0,0.2,0.1,0,19.3615071502189,19
"historical--historical--2020--2020","historical",0.24,0.21,0,58,0,85,91,98.55,0,0.2,0.1,0.1,19.3218255487775,20
"historical--historical--2020--2021","historical",0.35,0.2,0,94,0.2,64,82,79.18,0,0,0.1,0.25,18.5673798729626,21
"historical--historical--2020--2022","historical",0.36,0.31,0,90,0,42,74,76.89,0.2,0.5,0.2,0.4,17.5221766146753,22
"historical--historical--2020--2023","historical",0.4,0.26,0,85,0.3,43,49,76.07,0.7,0.9,0.1,0.05,16.9467384300858,23
"historical--historical--2020--2024","historical",0.4,0.33,0,95,0.1,44,50,75.81,0.2,0.8,0,0,17.771918986277,24
"historical--historical--2020--2025","historical",0.21,0.22,0,88,0,56,81,73.31,0.4,0.5,0,0.45,18.7222809562379,25
"historical--historical--2020--2026","historical",0.54,0.13,0,94,0.2,55,61,85.86,0.3,0.3,0.1,0.15,18.4083616462896,26
"historical--historical--2020--2027","historical",0.34,0.26,0,64,0.1,67,73,87.76,0.2,0.7,0.1,0.4,18.2501336339828,27
"historical--historical--2020--2028","historical",0.38,0.26,0.2,85,0,69,77,89.75,0.1,0.7,0,0.2,18.2037349218604,28
"historical--historical--2020--2029","historical",0.21,0.22,0,65,0,48,54,74.72,0.4,0.4,0.1,0.15,17.5857352116669,29
"historical--historical--2020--2030","historical",0.08,0.11,0,85,0.1,45,51,74.4,0,0.5,0.4,0.5,16.8449039557946,30
"historical--historical--2020--2031","historical",0.29,0.27,0,85,0.2,48,80,77.36,0,0.3,0,0,17.1503186872143,31
